file	article_id	action	detail
archive/2026-08.csv	378b3caf3e3f	removed	collected_at=2026-09-03 23:32:05
archive/2026-08.csv	4de5fdd6251e	removed	collected_at=2026-09-03 23:32:05
archive/2026-08.csv	d7814198ceaa	removed	collected_at=2026-09-03 23:32:06
archive/2026-08.csv	bb2533eced10	removed	collected_at=2026-09-03 23:32:06
archive/2026-08.csv	6d99b790f3ac	removed	collected_at=2026-09-03 23:32:11
archive/2026-08.csv	fccb2b137920	removed	collected_at=2026-09-03 23:32:11
archive/2026-08.csv	e8d5e291904f	removed	collected_at=2026-09-03 23:32:13
archive/2026-08.csv	7a6ac6862af8	removed	collected_at=2026-09-03 23:32:17
archive/2026-08.csv	20980141d7a9	removed	collected_at=2026-09-03 23:32:19
archive/2026-08.csv	4a1dee38ef31	removed	collected_at=2026-09-03 23:32:21
archive/2026-08.csv	34dc7f8312e2	removed	collected_at=2026-09-03 23:32:21
archive/2026-08.csv	80e1268b0ed2	removed	collected_at=2026-09-03 23:32:21
archive/2026-08.csv	59273018f437	removed	collected_at=2026-09-03 23:32:21
archive/2026-08.csv	97d93cae0ce8	removed	collected_at=2026-09-03 23:32:21
archive/2026-08.csv	fdb8f355b03c	removed	collected_at=2026-09-03 23:32:30
archive/2026-08.csv	ba29593d7e93	removed	collected_at=2026-09-03 23:32:34
archive/2026-08.csv	f87950fdd30b	removed	collected_at=2026-09-03 23:33:01
archive/2026-09.csv	f2fed1238e2e	removed	collected_at=2026-09-03 23:29:22
archive/2026-09.csv	2088ce6c8ee5	removed	collected_at=2026-09-03 23:29:37
archive/2026-09.csv	f0b7aa73b9e4	removed	collected_at=2026-09-03 23:29:37
archive/2026-09.csv	2f61c2082a6b	removed	collected_at=2026-09-03 23:29:41
archive/2026-09.csv	7aaaeb644215	removed	collected_at=2026-09-03 23:29:46
archive/2026-09.csv	8ae93b41deb4	removed	collected_at=2026-09-03 23:29:47
archive/2026-09.csv	79e3fbd89e3f	removed	collected_at=2026-09-03 23:29:48
archive/2026-09.csv	04bc3d189844	removed	collected_at=2026-09-03 23:30:03
archive/2026-09.csv	9ad555463986	removed	collected_at=2026-09-03 23:30:15
archive/2026-09.csv	570380a961da	removed	collected_at=2026-09-03 23:30:34
archive/2026-09.csv	5696f3e4a26b	removed	collected_at=2026-09-03 23:31:17
archive/2026-09.csv	08cb562dcb0e	removed	collected_at=2026-09-03 23:31:51
archive/2026-09.csv	a8d257d40360	removed	collected_at=2026-09-03 23:32:04
archive/2026-09.csv	e2dfeba2b7a0	removed	collected_at=2026-09-03 23:32:04
archive/2026-09.csv	96255dea459b	removed	collected_at=2026-09-03 23:32:04
archive/2026-09.csv	0b35a18fe530	removed	collected_at=2026-09-03 23:32:04
archive/2026-09.csv	8752699ad22a	removed	collected_at=2026-09-03 23:32:05
archive/2026-09.csv	654f7a43f761	removed	collected_at=2026-09-03 23:32:06
archive/2026-09.csv	65510deace24	removed	collected_at=2026-09-03 23:32:06
archive/2026-09.csv	08327db0954c	removed	collected_at=2026-09-03 23:32:06
archive/2026-09.csv	26d17105e418	removed	collected_at=2026-09-03 23:32:25
archive/2026-09.csv	62422cb99d4a	removed	collected_at=2026-09-03 23:32:26
archive/2026-09.csv	ee7307599758	removed	collected_at=2026-09-03 23:32:35
archive/2026-09.csv	982e0e78e017	removed	collected_at=2026-09-03 23:32:36
archive/2026-09.csv	b24df10fe2fe	removed	collected_at=2026-09-03 23:32:36
archive/2026-09.csv	b969cad2b7e4	removed	collected_at=2026-09-03 23:32:37
archive/2026-09.csv	9613899cd779	removed	collected_at=2026-09-03 23:32:46
archive/2026-09.csv	a9ad8105f567	removed	collected_at=2026-09-03 23:32:46
archive/2026-09.csv	0823db37458a	removed	collected_at=2026-09-03 23:32:46
archive/2026-09.csv	133413317dc2	removed	collected_at=2026-09-03 23:32:46
archive/2026-09.csv	0cd6fe18ca86	removed	collected_at=2026-09-03 23:32:46
archive/2026-09.csv	c0d96998e7a9	removed	collected_at=2026-09-03 23:32:46
archive/2026-09.csv	7c802401d435	removed	collected_at=2026-09-03 23:32:46
archive/2026-09.csv	07a4bbdf86a7	removed	collected_at=2026-09-03 23:32:46
archive/2026-09.csv	9565bac9416e	removed	collected_at=2026-09-03 23:32:46
archive/2026-09.csv	d096cf393981	removed	collected_at=2026-09-03 23:32:46
archive/2026-09.csv	b77090471c07	removed	collected_at=2026-09-03 23:32:46
archive/2026-09.csv	4ae440f7bd4d	removed	collected_at=2026-09-03 23:32:46
archive/2026-09.csv	cb0c331e5372	removed	collected_at=2026-09-03 23:32:46
archive/2026-09.csv	8068605e0791	removed	collected_at=2026-09-03 23:32:46
archive/2026-09.csv	156cb6050461	removed	collected_at=2026-09-03 23:32:49
archive/2026-09.csv	eff71c1e6f52	removed	collected_at=2026-09-03 23:32:49
archive/2026-09.csv	3bfdbe5c6e8f	removed	collected_at=2026-09-03 23:32:53
archive/2026-09.csv	47569b81316a	removed	collected_at=2026-09-03 23:32:55
archive/2026-09.csv	2c20f393c8de	removed	collected_at=2026-09-03 23:32:59
archive/2026-09.csv	6689f6c93974	removed	collected_at=2026-09-03 23:33:01
archive/2026-09.csv	02be527a6cb4	removed	collected_at=2026-09-03 23:33:01
archive/2026-09.csv	847d8c607407	removed	collected_at=2026-09-03 23:33:02
archive/2026-09.csv	99c4ef996016	removed	collected_at=2026-09-03 23:33:02
archive/2026-09.csv	0a58a6ece8f5	removed	collected_at=2026-09-03 23:33:02
articles.csv	0f8e2ca47f7d	removed	collected_at=2026-09-03 23:31:09
articles.csv	18a065a5202b	removed	collected_at=2026-09-03 23:31:33
articles.csv	947ce431f313	removed	collected_at=2026-09-03 23:32:11
articles.csv	e488a8896bb7	removed	collected_at=2026-09-03 23:32:11
articles.csv	b59f141e4de5	removed	collected_at=2026-09-03 23:32:11
articles.csv	1fe2caab417f	removed	collected_at=2026-09-03 23:32:11
articles.csv	3ea288870a92	removed	collected_at=2026-09-03 23:32:14
articles.csv	30e81695f9a5	removed	collected_at=2026-09-03 23:32:15
articles.csv	2b015da3dfec	removed	collected_at=2026-09-03 23:32:17
articles.csv	7877ecb3e7d1	removed	collected_at=2026-09-03 23:32:17
articles.csv	ba1d9869ee93	removed	collected_at=2026-09-03 23:32:19
articles.csv	7086bbf0be4d	removed	collected_at=2026-09-03 23:32:21
articles.csv	3bfe355cc815	removed	collected_at=2026-09-03 23:32:21
articles.csv	79beecdd3023	removed	collected_at=2026-09-03 23:32:22
articles.csv	146417aa8379	removed	collected_at=2026-09-03 23:32:24
articles.csv	8781057577b2	removed	collected_at=2026-09-03 23:32:26
articles.csv	2967ec60027d	removed	collected_at=2026-09-03 23:32:26
articles.csv	9fa24c4f622a	removed	collected_at=2026-09-03 23:32:26
articles.csv	3f208d4a2010	removed	collected_at=2026-09-03 23:32:26
articles.csv	bdba9b4e9985	removed	collected_at=2026-09-03 23:32:26
articles.csv	f7038ff123ac	removed	collected_at=2026-09-03 23:32:26
articles.csv	501762a9a60c	removed	collected_at=2026-09-03 23:32:27
articles.csv	412605bffec9	removed	collected_at=2026-09-03 23:29:33
articles.csv	89b2a20af42e	removed	collected_at=2026-09-03 23:29:43
articles.csv	2f1fe6a95cbb	removed	collected_at=2026-09-03 23:29:51
articles.csv	9d3ee6aed652	removed	collected_at=2026-09-03 23:31:58
articles.csv	ff86186167d7	removed	collected_at=2026-09-03 23:32:03
articles.csv	82723cac4e6e	removed	collected_at=2026-09-03 23:32:10
articles.csv	895373fd2a54	removed	collected_at=2026-09-03 23:32:14
articles.csv	46fac971dd14	removed	collected_at=2026-09-03 23:32:16
articles.csv	b9dd27baf7ed	removed	collected_at=2026-09-03 23:32:21
articles.csv	c114bd9948b2	removed	collected_at=2026-09-03 23:32:22
articles.csv	3b2eab625b3e	removed	collected_at=2026-09-03 23:32:25
articles.csv	60b382ca42a6	removed	collected_at=2026-09-03 23:32:31
articles.csv	b5bcb191c748	removed	collected_at=2026-09-03 23:32:32
articles.csv	60c710be0f37	removed	collected_at=2026-09-03 23:32:32
articles.csv	2d513aa4da98	removed	collected_at=2026-09-03 23:32:34
articles.csv	c51bc0fd2f28	removed	collected_at=2026-09-03 23:29:19
articles.csv	44335a585c8d	removed	collected_at=2026-09-03 23:29:42
articles.csv	8ce81b573c73	removed	collected_at=2026-09-03 23:30:02
articles.csv	a5f4b8ac94ad	removed	collected_at=2026-09-03 23:30:15
articles.csv	2e5b66665d81	removed	collected_at=2026-09-03 23:30:17
articles.csv	f753dad98b0d	removed	collected_at=2026-09-03 23:30:47
articles.csv	ff61dc3667ec	removed	collected_at=2026-09-03 23:30:53
articles.csv	87ffb44fdc9f	removed	collected_at=2026-09-03 23:31:31
articles.csv	882da8f44bda	removed	collected_at=2026-09-03 23:31:32
articles.csv	48f32095df02	removed	collected_at=2026-09-03 23:31:32
articles.csv	41f7f0afeb8b	removed	collected_at=2026-09-03 23:31:34
articles.csv	a550fc00297e	removed	collected_at=2026-09-03 23:31:45
articles.csv	8eb25277ec97	removed	collected_at=2026-09-03 23:31:48
articles.csv	486d4aa1d66e	removed	collected_at=2026-09-03 23:31:49
articles.csv	753856d710aa	removed	collected_at=2026-09-03 23:32:02
articles.csv	378b3caf3e3f	removed	collected_at=2026-09-03 23:32:05
articles.csv	4de5fdd6251e	removed	collected_at=2026-09-03 23:32:05
articles.csv	d7814198ceaa	removed	collected_at=2026-09-03 23:32:06
articles.csv	bb2533eced10	removed	collected_at=2026-09-03 23:32:06
articles.csv	6d99b790f3ac	removed	collected_at=2026-09-03 23:32:11
articles.csv	fccb2b137920	removed	collected_at=2026-09-03 23:32:11
articles.csv	e8d5e291904f	removed	collected_at=2026-09-03 23:32:13
articles.csv	7a6ac6862af8	removed	collected_at=2026-09-03 23:32:17
articles.csv	20980141d7a9	removed	collected_at=2026-09-03 23:32:19
articles.csv	4a1dee38ef31	removed	collected_at=2026-09-03 23:32:21
articles.csv	34dc7f8312e2	removed	collected_at=2026-09-03 23:32:21
articles.csv	80e1268b0ed2	removed	collected_at=2026-09-03 23:32:21
articles.csv	59273018f437	removed	collected_at=2026-09-03 23:32:21
articles.csv	97d93cae0ce8	removed	collected_at=2026-09-03 23:32:21
articles.csv	fdb8f355b03c	removed	collected_at=2026-09-03 23:32:30
articles.csv	ba29593d7e93	removed	collected_at=2026-09-03 23:32:34
articles.csv	f87950fdd30b	removed	collected_at=2026-09-03 23:33:01
articles.csv	f2fed1238e2e	removed	collected_at=2026-09-03 23:29:22
articles.csv	2088ce6c8ee5	removed	collected_at=2026-09-03 23:29:37
articles.csv	f0b7aa73b9e4	removed	collected_at=2026-09-03 23:29:37
articles.csv	2f61c2082a6b	removed	collected_at=2026-09-03 23:29:41
articles.csv	7aaaeb644215	removed	collected_at=2026-09-03 23:29:46
articles.csv	8ae93b41deb4	removed	collected_at=2026-09-03 23:29:47
articles.csv	79e3fbd89e3f	removed	collected_at=2026-09-03 23:29:48
articles.csv	04bc3d189844	removed	collected_at=2026-09-03 23:30:03
articles.csv	9ad555463986	removed	collected_at=2026-09-03 23:30:15
articles.csv	570380a961da	removed	collected_at=2026-09-03 23:30:34
articles.csv	5696f3e4a26b	removed	collected_at=2026-09-03 23:31:17
articles.csv	08cb562dcb0e	removed	collected_at=2026-09-03 23:31:51
articles.csv	a8d257d40360	removed	collected_at=2026-09-03 23:32:04
articles.csv	e2dfeba2b7a0	removed	collected_at=2026-09-03 23:32:04
articles.csv	96255dea459b	removed	collected_at=2026-09-03 23:32:04
articles.csv	0b35a18fe530	removed	collected_at=2026-09-03 23:32:04
articles.csv	8752699ad22a	removed	collected_at=2026-09-03 23:32:05
articles.csv	654f7a43f761	removed	collected_at=2026-09-03 23:32:06
articles.csv	65510deace24	removed	collected_at=2026-09-03 23:32:06
articles.csv	08327db0954c	removed	collected_at=2026-09-03 23:32:06
articles.csv	26d17105e418	removed	collected_at=2026-09-03 23:32:25
articles.csv	62422cb99d4a	removed	collected_at=2026-09-03 23:32:26
articles.csv	ee7307599758	removed	collected_at=2026-09-03 23:32:35
articles.csv	982e0e78e017	removed	collected_at=2026-09-03 23:32:36
articles.csv	b24df10fe2fe	removed	collected_at=2026-09-03 23:32:36
articles.csv	b969cad2b7e4	removed	collected_at=2026-09-03 23:32:37
articles.csv	9613899cd779	removed	collected_at=2026-09-03 23:32:46
articles.csv	a9ad8105f567	removed	collected_at=2026-09-03 23:32:46
articles.csv	0823db37458a	removed	collected_at=2026-09-03 23:32:46
articles.csv	133413317dc2	removed	collected_at=2026-09-03 23:32:46
articles.csv	0cd6fe18ca86	removed	collected_at=2026-09-03 23:32:46
articles.csv	c0d96998e7a9	removed	collected_at=2026-09-03 23:32:46
articles.csv	7c802401d435	removed	collected_at=2026-09-03 23:32:46
articles.csv	07a4bbdf86a7	removed	collected_at=2026-09-03 23:32:46
articles.csv	9565bac9416e	removed	collected_at=2026-09-03 23:32:46
articles.csv	d096cf393981	removed	collected_at=2026-09-03 23:32:46
articles.csv	b77090471c07	removed	collected_at=2026-09-03 23:32:46
articles.csv	4ae440f7bd4d	removed	collected_at=2026-09-03 23:32:46
articles.csv	cb0c331e5372	removed	collected_at=2026-09-03 23:32:46
articles.csv	8068605e0791	removed	collected_at=2026-09-03 23:32:46
articles.csv	156cb6050461	removed	collected_at=2026-09-03 23:32:49
articles.csv	eff71c1e6f52	removed	collected_at=2026-09-03 23:32:49
articles.csv	3bfdbe5c6e8f	removed	collected_at=2026-09-03 23:32:53
articles.csv	47569b81316a	removed	collected_at=2026-09-03 23:32:55
articles.csv	2c20f393c8de	removed	collected_at=2026-09-03 23:32:59
articles.csv	6689f6c93974	removed	collected_at=2026-09-03 23:33:01
articles.csv	02be527a6cb4	removed	collected_at=2026-09-03 23:33:01
articles.csv	847d8c607407	removed	collected_at=2026-09-03 23:33:02
articles.csv	99c4ef996016	removed	collected_at=2026-09-03 23:33:02
articles.csv	0a58a6ece8f5	removed	collected_at=2026-09-03 23:33:02
